id,email_text,expected_action,expected_tone,clean_text,predicted_tone,predicted_action,action_correct,tone_correct
63,Your order has been shipped and will be delivered within 3 days.,respond,urgent,your order has been shipped and will be delivered within  days,neutral,ignore,False,False
64,Invoice INR 18450 is pending and must be cleared before the due date.,ignore,polite,invoice inr  is pending and must be cleared before the due date,neutral,respond,False,False
65,Invoice INR 18450 is pending and must be cleared before the due date.,respond,urgent,invoice inr  is pending and must be cleared before the due date,neutral,respond,True,False
66,Thank you for contacting support. We are reviewing your query.,respond,polite,thank you for contacting support we are reviewing your query,polite,ignore,False,True
67,This is a weekly newsletter with general updates. No action required.,ignore,polite,this is a weekly newsletter with general updates no action required,neutral,ignore,True,False
68,Your internship application has been shortlisted. Please reply to confirm availability.,respond,neutral,your internship application has been shortlisted please reply to confirm availability,polite,ignore,False,False
69,Reminder: The project review meeting is scheduled for tomorrow at 11:00 AM.,ignore,neutral,reminder the project review meeting is scheduled for tomorrow at  am,neutral,ignore,True,True
70,Your internship application has been shortlisted. Please reply to confirm availability.,ignore,polite,your internship application has been shortlisted please reply to confirm availability,polite,ignore,True,True
71,Please submit the assignment by tonight to avoid late penalties.,ignore,urgent,please submit the assignment by tonight to avoid late penalties,polite,respond,False,False
72,Invoice INR 18450 is pending and must be cleared before the due date.,notify,neutral,invoice inr  is pending and must be cleared before the due date,neutral,respond,False,True
73,Please submit the assignment by tonight to avoid late penalties.,ignore,neutral,please submit the assignment by tonight to avoid late penalties,polite,respond,False,False
74,This is a weekly newsletter with general updates. No action required.,notify,neutral,this is a weekly newsletter with general updates no action required,neutral,ignore,False,True
75,This is a weekly newsletter with general updates. No action required.,ignore,polite,this is a weekly newsletter with general updates no action required,neutral,ignore,True,False
76,Thank you for contacting support. We are reviewing your query.,respond,urgent,thank you for contacting support we are reviewing your query,polite,ignore,False,False
77,Invoice INR 18450 is pending and must be cleared before the due date.,respond,urgent,invoice inr  is pending and must be cleared before the due date,neutral,respond,True,False
78,"Congratulations, you have been selected for the next interview round.",ignore,urgent,congratulations you have been selected for the next interview round,neutral,ignore,True,False
79,System maintenance is scheduled this weekend.,respond,polite,system maintenance is scheduled this weekend,neutral,ignore,False,False
80,Your order has been shipped and will be delivered within 3 days.,ignore,neutral,your order has been shipped and will be delivered within  days,neutral,ignore,True,True
81,Please submit the assignment by tonight to avoid late penalties.,notify,neutral,please submit the assignment by tonight to avoid late penalties,polite,respond,False,False
82,"Congratulations, you have been selected for the next interview round.",respond,urgent,congratulations you have been selected for the next interview round,neutral,ignore,False,False
83,System maintenance is scheduled this weekend.,ignore,neutral,system maintenance is scheduled this weekend,neutral,ignore,True,True
84,Reminder: The project review meeting is scheduled for tomorrow at 11:00 AM.,ignore,urgent,reminder the project review meeting is scheduled for tomorrow at  am,neutral,ignore,True,False
85,Invoice INR 18450 is pending and must be cleared before the due date.,respond,polite,invoice inr  is pending and must be cleared before the due date,neutral,respond,True,False
86,Reminder: The project review meeting is scheduled for tomorrow at 11:00 AM.,respond,urgent,reminder the project review meeting is scheduled for tomorrow at  am,neutral,ignore,False,False
87,Your order has been shipped and will be delivered within 3 days.,respond,neutral,your order has been shipped and will be delivered within  days,neutral,ignore,False,True
88,Please submit the assignment by tonight to avoid late penalties.,notify,urgent,please submit the assignment by tonight to avoid late penalties,polite,respond,False,False
89,Your internship application has been shortlisted. Please reply to confirm availability.,respond,neutral,your internship application has been shortlisted please reply to confirm availability,polite,ignore,False,False
90,Your order has been shipped and will be delivered within 3 days.,ignore,polite,your order has been shipped and will be delivered within  days,neutral,ignore,True,False
91,Please submit the assignment by tonight to avoid late penalties.,notify,polite,please submit the assignment by tonight to avoid late penalties,polite,respond,False,True
92,Your internship application has been shortlisted. Please reply to confirm availability.,respond,neutral,your internship application has been shortlisted please reply to confirm availability,polite,ignore,False,False
93,Invoice INR 18450 is pending and must be cleared before the due date.,respond,polite,invoice inr  is pending and must be cleared before the due date,neutral,respond,True,False
94,Your internship application has been shortlisted. Please reply to confirm availability.,ignore,neutral,your internship application has been shortlisted please reply to confirm availability,polite,ignore,True,False
95,"Congratulations, you have been selected for the next interview round.",notify,polite,congratulations you have been selected for the next interview round,neutral,ignore,False,False
96,Invoice INR 18450 is pending and must be cleared before the due date.,respond,neutral,invoice inr  is pending and must be cleared before the due date,neutral,respond,True,True
97,This is a weekly newsletter with general updates. No action required.,notify,urgent,this is a weekly newsletter with general updates no action required,neutral,ignore,False,False
98,Your order has been shipped and will be delivered within 3 days.,respond,neutral,your order has been shipped and will be delivered within  days,neutral,ignore,False,True
99,System maintenance is scheduled this weekend.,notify,urgent,system maintenance is scheduled this weekend,neutral,ignore,False,False
100,"Congratulations, you have been selected for the next interview round.",respond,polite,congratulations you have been selected for the next interview round,neutral,ignore,False,False
